CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00000580,0913    ,'12763719F         ,'00000977,0101, 13462, 15%, 2019.3, 323.09, 0, 0, 0, 2342.39,20200806
'00000580,0840    ,'12790353F         ,'00005193,0101, 20237.54, 25%, 5059.39, 809.5, 0, 0, 0, 5868.89,20200806
'00000580,0840    ,'12790368F         ,'00005194,0101, 40475.09, 25%, 10118.77, 1619, 0, 0, 0, 11737.77,20200806
'00000580,0955    ,'12802810F         ,'00004861,0101, 139169.75, 10%, 13916.98, 2226.54, 0, 0, 0, 16143.52,20200806
'00000580,0840    ,'12879432F         ,'00005230,0101, 6275.98, 25%, 1569, 251.04, 0, 0, 0, 1820.04,20200806
'00000580,0955    ,'12943621F         ,'00001358,0101, 9902.9, 10%, 990.29, 158.45, 0, 0, 0, 1148.74,20200806
'00000580,0870    ,'12959263F         ,'00005240,0101, 1, 25%, .25, .04, 0, 0, 0, .29,20200806
