CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00000580,0212    ,'11682461F         ,'00003538,0912, 2115.14, 15%, 317.27, 50.76, 0, 0, 0, 368.03,20200714
'00000580,0212    ,'11682473F         ,'00003538,0912, 12861.03, 15%, 1929.15, 308.66, 0, 0, 0, 2237.81,20200714
'00000580,0212    ,'11682485F         ,'00003538,0912, 3183.24, 15%, 477.49, 76.4, 0, 0, 0, 553.89,20200714
'00000580,0212    ,'11682497F         ,'00003538,0912, 2898.97, 15%, 434.85, 69.58, 0, 0, 0, 504.43,20200714
'00000580,0212    ,'11682509F         ,'00003538,0912, 2450.75, 15%, 367.61, 58.82, 0, 0, 0, 426.43,20200714
'00000580,0212    ,'11682521F         ,'00003538,0912, 4597.54, 15%, 689.63, 110.34, 0, 0, 0, 799.97,20200714
'00000580,0212    ,'11682533F         ,'00003538,0912, 2129.59, 15%, 319.44, 51.11, 0, 0, 0, 370.55,20200714
'00000580,0212    ,'11719101F         ,'00003538,0912, 2065.84, 15%, 309.88, 49.58, 0, 0, 0, 359.46,20200714
'00000580,0212    ,'11737317F         ,'00003538,0912, 388.51, 15%, 58.27, 9.32, 0, 0, 0, 67.59,20200714
'00000580,0955    ,'12057101F         ,'00004637,0101, 15970.48, 10%, 1597.04, 255.52, 0, 0, 0, 1852.56,20200714
