CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00000580,0925    ,'11705248F         ,'00009000,0202, 15598.36, 15%, 2339.76, 374.37, 0, 0, 0, 2714.13,20200721
'00000580,0955    ,'12712156F         ,'00004821,0101, 14196.55, 10%, 1419.65, 227.14, 0, 0, 0, 1646.79,20200721
'00000580,0955    ,'12757378F         ,'00004843,0101, 6200.29, 10%, 620.03, 99.25, 0, 0, 0, 719.28,20200721
'00000580,0955    ,'12763449F         ,'00004849,0101, 113888.93, 10%, 11388.89, 1822.22, 0, 0, 0, 13211.11,20200721
