CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00000580,0925    ,'11605987F         ,'00009002,0202, 19617.03, 15%, 2942.56, 470.82, 0, 0, 0, 3413.38,20200707
'00000580,0212    ,'11620980O         ,'00003178,0101,-6990.29, 20%,-1398.06,-223.69, 0, 0, 0,-1621.75,20200707
'00000580,0099    ,'12094051F         ,'00002178,0101, 27395.75, 7.37%, 2019.07, 0, 0, 0, 0, 2019.07,20200707
'00000580,0212    ,'12722115F         ,'00003178,0101, 92598.62, 20%, 18519.72, 2963.16, 0, 0, 0, 21482.88,20200707
