CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00002467,0197    ,'010620200717080424,'8304    ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200721
'00002467,0197    ,'010620200717080424,'8304    ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200721
'00002467,0197    ,'010620200717080425,'8931    ,0000, 0, 0%, 135, 0, 0, 0, 0, 135,20200721
'00002467,0197    ,'010620200717080425,'8931    ,0000, 0, 0%,-135, 0, 0, 0, 0,-135,20200721
'00002467,0197    ,'010620200717080439,'7946    ,0000, 0, 0%,-26865, 0, 0, 0, 0,-26865,20200721
'00002467,0197    ,'010620200717080439,'7946    ,0000, 0, 0%, 26865, 0, 0, 0, 0, 26865,20200721
'00002467,0196    ,'010620200717100123,'96827   ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200721
'00002467,0196    ,'010620200717100123,'96827   ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200721
'00002467,0192    ,'010620200717100535,'5062    ,0000, 0, 0%, 40, 0, 0, 0, 0, 40,20200721
'00002467,0192    ,'010620200717100537,'5284    ,0000, 0, 0%, 46.02, 0, 0, 0, 0, 46.02,20200721
'00002467,0192    ,'010620200717100613,'5877    ,0000, 0, 0%, 69.04, 0, 0, 0, 0, 69.04,20200721
'00002467,0194    ,'010620200717101036,'35515   ,0000, 0, 0%, 26.28, 0, 0, 0, 0, 26.28,20200721
'00002467,0194    ,'010620200717101344,'39927   ,0000, 0, 0%, 25.3, 0, 0, 0, 0, 25.3,20200721
'00002467,0196    ,'010620200717101517,'109702  ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200721
'00002467,0196    ,'010620200717101517,'109702  ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200721
'00002467,0196    ,'010620200717101526,'114474  ,0000, 0, 0%,-135, 0, 0, 0, 0,-135,20200721
'00002467,0196    ,'010620200717101526,'114474  ,0000, 0, 0%, 135, 0, 0, 0, 0, 135,20200721
'00002467,0196    ,'010620200717103257,'114448  ,0000, 0, 0%,-135, 0, 0, 0, 0,-135,20200721
'00002467,0196    ,'010620200717103257,'114448  ,0000, 0, 0%, 135, 0, 0, 0, 0, 135,20200721
'00002467,0194    ,'010620200717103354,'51122   ,0000, 0, 0%, 24.26, 0, 0, 0, 0, 24.26,20200721
'00002467,0191    ,'010620200717121018,'1030863 ,0000, 0, 0%, 46.02, 0, 0, 0, 0, 46.02,20200721
'00002467,0191    ,'010620200717121354,'1006238 ,0000, 0, 0%, 48.52, 0, 0, 0, 0, 48.52,20200721
'00002467,0191    ,'010620200717121355,'1006239 ,0000, 0, 0%, 24.26, 0, 0, 0, 0, 24.26,20200721
'00002467,0191    ,'010620200717121357,'1006237 ,0000, 0, 0%, 24.26, 0, 0, 0, 0, 24.26,20200721
'00002467,0191    ,'010620200717121603,'1034728 ,0000, 0, 0%, 30, 0, 0, 0, 0, 30,20200721
'00002467,0192    ,'11383103F         ,'00005497,1112, 62.98, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0197    ,'11384338F         ,'00007484,1112, 131.14, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0916    ,'11648374O         ,'00011660,0101,-3391.52, 16%,-542.65,-86.83, 0, 0, 0,-629.48,20200721
'00002467,0192    ,'11690331F         ,'00005657,0912, 240.91, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0192    ,'11690344F         ,'00005658,0912, 232.68, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0211    ,'11737155F         ,'00006584,0202, 80450.84, 12%, 9654.1, 1544.66, 0, 0, 0, 11198.76,20200721
'00002467,0197    ,'11904003F         ,'00008931,0712, 115.98, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0192    ,'11990087F         ,'00005877,0712, 46.46, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0192    ,'12173327F         ,'00005975,0612, 31.69, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0197    ,'12174354F         ,'00007946,0612, 103.78, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0192    ,'12489617F         ,'00006216,0412, 49, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0197    ,'12489828F         ,'00007004,0412, 127.03, 0%, 0, 0, 0, 0, 0, 0,20200721
'00002467,0192    ,'12663615F         ,'00005108,0312, 56.38, 0%, 0, 0, 0, 0, 0, 0,20200721
