CVE_AGENTE,RAMO,RECIBO,POLIZA,SERIE,PRIMA_AL_COBRO,PORCENTAJE_COM,IMPORTE_COM,IVA,ISR,IMPUESTO_CEDULAR,RETENCION,IMPORTE_NETO,FECHA_APLICACION
'00002467,0192    ,'010620200724100924,'2200    ,0000, 0, 0%, 25.3, 0, 0, 0, 0, 25.3,20200728
'00002467,0196    ,'010620200724101104,'117605  ,0000, 0, 0%,-54, 0, 0, 0, 0,-54,20200728
'00002467,0196    ,'010620200724101104,'117605  ,0000, 0, 0%, 54, 0, 0, 0, 0, 54,20200728
'00002467,0192    ,'010620200724101209,'3316    ,0000, 0, 0%, 40, 0, 0, 0, 0, 40,20200728
'00002467,0192    ,'010620200724101501,'4364    ,0000, 0, 0%, 118.98, 0, 0, 0, 0, 118.98,20200728
'00002467,0192    ,'010620200724102052,'6216    ,0000, 0, 0%, 40, 0, 0, 0, 0, 40,20200728
'00002467,0192    ,'010620200724102109,'5895    ,0000, 0, 0%, 69.04, 0, 0, 0, 0, 69.04,20200728
'00002467,0192    ,'010620200724102111,'5811    ,0000, 0, 0%, 60, 0, 0, 0, 0, 60,20200728
'00002467,0192    ,'010620200724102112,'5810    ,0000, 0, 0%, 40, 0, 0, 0, 0, 40,20200728
'00002467,0196    ,'010620200724103701,'94918   ,0000, 0, 0%,-54, 0, 0, 0, 0,-54,20200728
'00002467,0196    ,'010620200724103701,'94918   ,0000, 0, 0%, 54, 0, 0, 0, 0, 54,20200728
'00002467,0196    ,'010620200724103705,'93099   ,0000, 0, 0%,-54, 0, 0, 0, 0,-54,20200728
'00002467,0196    ,'010620200724103705,'93099   ,0000, 0, 0%, 54, 0, 0, 0, 0, 54,20200728
'00002467,0196    ,'010620200724103802,'108146  ,0000, 0, 0%,-108, 0, 0, 0, 0,-108,20200728
'00002467,0196    ,'010620200724103802,'108146  ,0000, 0, 0%, 108, 0, 0, 0, 0, 108,20200728
'00002467,0196    ,'010620200724103803,'110413  ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200728
'00002467,0196    ,'010620200724103803,'110413  ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200728
'00002467,0196    ,'010620200724104542,'108449  ,0000, 0, 0%, 27, 0, 0, 0, 0, 27,20200728
'00002467,0196    ,'010620200724104542,'108449  ,0000, 0, 0%,-27, 0, 0, 0, 0,-27,20200728
'00002467,0194    ,'010620200724120640,'33399   ,0000, 0, 0%, 39.46, 0, 0, 0, 0, 39.46,20200728
'00002467,0194    ,'010620200724120641,'37149   ,0000, 0, 0%, 126.46, 0, 0, 0, 0, 126.46,20200728
'00002467,0194    ,'010620200724120642,'41431   ,0000, 0, 0%, 50, 0, 0, 0, 0, 50,20200728
'00002467,0194    ,'010620200724120726,'38277   ,0000, 0, 0%, 37.94, 0, 0, 0, 0, 37.94,20200728
'00002467,0194    ,'010620200724120749,'38278   ,0000, 0, 0%, 50.6, 0, 0, 0, 0, 50.6,20200728
'00002467,0194    ,'010620200724120845,'41432   ,0000, 0, 0%, 25.3, 0, 0, 0, 0, 25.3,20200728
'00002467,0194    ,'010620200724121100,'41429   ,0000, 0, 0%, 25.3, 0, 0, 0, 0, 25.3,20200728
'00002467,0194    ,'010620200724121207,'41430   ,0000, 0, 0%, 72.38, 0, 0, 0, 0, 72.38,20200728
'00002467,0191    ,'010620200724123112,'1004928 ,0000, 0, 0%, 36.44, 0, 0, 0, 0, 36.44,20200728
'00002467,0191    ,'010620200724123114,'1005047 ,0000, 0, 0%, 48.52, 0, 0, 0, 0, 48.52,20200728
'00002467,0191    ,'010620200724123115,'1005730 ,0000, 0, 0%, 72.88, 0, 0, 0, 0, 72.88,20200728
'00002467,0191    ,'010620200724124241,'1034884 ,0000, 0, 0%, 23.04, 0, 0, 0, 0, 23.04,20200728
'00002467,0197    ,'11384637F         ,'00007510,1112, 27.25, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'11384650F         ,'00007511,1112, 34.76, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'11855053F         ,'00005810,0812, 49.14, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'11855066F         ,'00005811,0812, 53.66, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'11990243F         ,'00005895,0712, 80.07, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'11990399F         ,'00005910,0712, 263.07, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0211    ,'12358277F         ,'00055111,0512, 1436.74, 17%, 244.25, 39.08, 0, 0, 0, 283.33,20200728
'00002467,0911    ,'12385600F         ,'00011202,0101, 7936.76, 16%, 1269.88, 203.18, 0, 0, 0, 1473.06,20200728
'00002467,0197    ,'12489842F         ,'00007005,0412, 30.22, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12489855F         ,'00007007,0412, 48.73, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12489868F         ,'00007008,0412, 39.78, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0211    ,'12559996F         ,'00063387,0312, 1911.46, 23.52%, 449.58, 71.93, 0, 0, 0, 521.51,20200728
'00002467,0911    ,'12704930F         ,'00011382,0212, 1221.57, 16%, 195.47, 31.3, 0, 0, 0, 226.77,20200728
'00002467,0196    ,'12902924F         ,'00070092,0101, 2156, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12902925F         ,'00070092,0101, 2156, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12902929F         ,'00070094,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12902930F         ,'00070097,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12903256F         ,'00075274,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12906047F         ,'00110413,0101, 1028, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0191    ,'12909184F         ,'01005730,0101, 1275, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0191    ,'12909185F         ,'01005730,0101, 2369, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12910267F         ,'00002200,0101, 1265, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12910304F         ,'00004364,0101, 5948.98, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12910346F         ,'00003316,0101, 2000.01, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12910492F         ,'00006216,0101, 2000.01, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12910493F         ,'00007004,0101, 2263, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12910494F         ,'00007004,0101, 2263, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12910495F         ,'00007005,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12910496F         ,'00007007,0101, 1616, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12910497F         ,'00007007,0101, 1616, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12910535F         ,'00005895,0101, 1726.08, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12910536F         ,'00005895,0101, 1726, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12910593F         ,'00007484,0101, 5605, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0191    ,'12915936F         ,'01005047,0101, 1213, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0191    ,'12915937F         ,'01005047,0101, 1213.08, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0191    ,'12916420F         ,'01034884,0101, 1151.98, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12916765F         ,'00005810,0101, 1000, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12916766F         ,'00005810,0101, 999.92, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12916767F         ,'00005811,0101, 1000, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12916768F         ,'00005811,0101, 999.92, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12916769F         ,'00005811,0101, 1000, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12921081F         ,'00108146,0101, 2057, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12921082F         ,'00108146,0101, 2057, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12930857F         ,'00071457,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0196    ,'12930858F         ,'00071457,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12933129F         ,'00007008,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0197    ,'12933130F         ,'00007008,0101, 1078, 0%, 0, 0, 0, 0, 0, 0,20200728
'00002467,0192    ,'12933144F         ,'00005910,0101, 5755.04, 0%, 0, 0, 0, 0, 0, 0,20200728
