p2,,
0003697050,0,1/1
0003685709,0,2/4
3190230696,0,1/1
0003705634,0,2/12
0003632472,0,6/12
3190183522,0,11/12
3190183521,0,11/12
0003721977,0,1/1
0003535140,0,4/4
3190219842,0,1/1
3190228759,0,1/1
0003685679,0,1/1
0003702198,0,1/2
0003560569,0,9/12
3190199155,0,3/4
3190230688,0,1/1
3190243947,0,1/2
3190216219,0,3/12
3190190361,0,9/12
3190209406,0,5/12
3190241290,0,1/1
3190231286,0,1/2
3190244343,0,1/2
0003703489,0,2/3
0003689831,0,2/3
0003669480,0,2/3
0003663589,0,2/3
0003674698,0,2/3
0003674698,123605,1/2
0003678695,0,2/3
0003673760,0,2/3
0003679557,0,2/3
0003686300,0,2/3
0003665192,0,2/3
0003667124,0,2/3
0003653962,0,3/4
0003651567,0,3/4
0003661481,0,2/3
0003640639,0,3/4
0003640486,0,3/4
0003634288,0,3/4
0003636507,0,3/4
0003704940,0,1/1
0003709671,0,2/3
0003608562,0,3/4
0003608593,0,3/4
0003614719,0,3/4
0003607609,0,3/4
0003607627,0,3/4
0003607658,0,3/4
0003608487,0,3/4
0003624569,0,3/4
0003603176,0,3/4
3190231029,0,1/1
0003697055,0,1/1
0003703528,0,2/12
3190228758,0,1/1
3190247639,0,1/1
3190243418,0,1/1
0003686369,0,2/12
3190247142,0,1/2
0003641851,0,4/12
0003619636,0,6/12
0003592892,0,3/4
3190194807,0,2/2
3190245733,0,1/1
3190208295,0,2/4
3190231287,0,1/1
3190228481,0,1/1
3190230069,0,1/12
3190230069,0,2/12
3190229743,0,1/12
3190229743,0,2/12
3190229744,0,1/12
3190229744,0,2/12
0003696201,0,1/12
0003696201,0,2/12
3190230081,0,1/1
0003717758,0,1/1
3190230087,0,1/1
0003697061,0,1/1
3190230687,0,1/2
3190230086,0,1/1
0003681894,0,1/1
0003681885,0,1/1
0003681913,0,1/1
0003719869,0,1/1
0003681897,0,1/1
0003681906,0,1/1
0003681900,0,1/1
0003681888,0,1/1
0003548319,220976,1/1
0003716756,0,1/1
3200265558,0,1/1
0003719866,0,1/1
0003719867,0,1/1
0003719868,0,1/1
0003681872,0,1/1
4053787968,0,1/1
0003722184,0,1/1
0003707113,0,1/1
0003707114,0,1/1
0003707145,0,1/1
0003707110,0,1/1
3200270057,0,1/1
3200270058,0,1/1
0003707116,0,1/1
0003722161,0,1/1
0003722617,0,1/1
0003722154,0,1/1
0003722159,0,1/1
0003681904,0,1/1
4053780334,0,1/1
0003707133,0,1/1
0003462836,219700,1/1
0003462837,219710,1/1
0003462840,219716,1/1
0003462843,219708,1/1
0003462844,219712,1/1
0003462845,219707,1/1
0003463591,219706,1/1
0003463592,219713,1/1
0003463593,219709,1/1
0003649875,0,2/4
3190219901,0,4/12
0003702565,0,2/12
0003702565,0,3/12
3190206785,0,5/12
3190193090,0,9/12
0003513024,0,12/12
3190175334,0,12/12
3190246375,0,1/2
0003686374,0,2/12
3190169260,0,12/12
0003708182,0,1/1
0003689741,0,1/2
3190230085,0,1/1
0003690640,0,1/1
0003690640,217899,1/1
0003690640,216546,1/1
0003690640,121678,1/1
0003690640,121078,1/1
0003690640,217897,1/1
0003690640,219297,1/1
0003690641,0,1/1
0003690641,121690,1/1
0003597885,0,3/4
3190183158,0,11/12
0003579848,0,7/12
0003522922,119784,1/1
3190219843,0,1/1
3190231031,0,1/1
3190231033,0,1/1
0003662324,0,2/4
0003662324,122119,1/4
0003662324,122119,2/4
0003662324,122546,1/4
0003662324,122546,2/4
3190242339,0,1/1
3190242664,0,1/1
3190242612,0,1/1
3190242732,0,1/1
3190207825,0,5/12
0003711431,0,1/4
0003686372,0,1/1
3190229772,0,2/12
0003698612,0,1/1
3190230694,0,1/1
0003724031,0,1/1
0003724410,0,1/1
0003724410,220479,1/1
3190230690,0,1/1
3190241291,0,1/12
3190241292,0,1/12
3190177975,0,12/12
3190177567,0,12/12
3190179754,0,12/12
3190200524,0,2/2
3200262389,0,1/1
0003697887,0,1/1
3190187018,0,4/4
3190247535,0,1/4
3190246374,0,1/1
3190248011,0,1/4
0003611608,0,2/2
0003611606,0,2/2
0003611598,0,2/2
0003611593,0,2/2
3190210853,0,5/12
3190218586,0,4/12
3190195286,0,8/12
3190245573,0,1/1
3190194285,0,8/12
3190243713,0,1/1
3190197097,0,8/12
3190200262,0,3/4
3190210127,0,5/12
3190244397,0,1/2
0003579090,0,9/12
3190195330,0,8/12
3190246179,0,1/2
3190196999,0,3/4
0003596458,0,3/4
3190209189,0,5/12
3190198378,0,7/12
3190214108,0,2/4
3190214115,0,2/4
0003596437,0,7/12
0003596432,0,7/12
0003598084,0,7/12
3190199265,0,3/4
3190200631,0,2/2
3190200646,0,2/2
3190200754,0,2/2
3190200761,0,2/2
3190200764,0,2/2
3190200767,0,2/2
3190227849,0,3/12
3190241031,0,1/4
0003616040,0,6/12
0003733692,0,1/1
3190207258,0,6/12
3190207914,0,5/12
3190209502,0,5/12
3190247483,0,1/1
3190227633,0,3/12
3190240950,0,2/12
3190207672,0,5/12
3190212051,0,4/12
3190213314,0,4/12
3190216125,0,4/12
3190243582,0,1/2
3190214111,0,2/4
3190214110,0,2/4
3190216141,0,4/12
3190216961,0,2/4
3190217015,0,2/4
3190247018,0,1/2
3190247006,0,1/2
0003662796,0,2/4
0003661264,0,2/4
3190240480,0,2/12
0003671905,0,3/12
3190229228,0,3/12
3190245965,0,1/1
3190242529,0,1/4
3190229354,0,3/12
0003696346,0,2/12
0003697479,0,2/12
3190230123,0,2/12
3190240648,0,1/4
3190230718,0,2/12
3190231243,0,2/12
3190231241,0,2/12
3190231240,0,2/12
3190230765,0,2/12
3190240593,0,1/4
3190240796,0,1/1
3190240821,0,1/12
3190240821,0,2/12
3190241071,0,1/4
3190241327,0,1/2
3190241677,0,2/12
3190241678,0,2/12
3190241679,0,2/12
0003717324,0,1/4
3190242655,0,1/4
0003722475,0,1/1
0003722475,122717,1/1
3190243208,0,1/1
3190247495,0,1/2
3190243856,0,1/12
3190244073,0,1/4
0003727428,0,1/4
0003727429,0,1/4
0003727434,0,1/4
0003727439,0,1/4
0003727442,0,1/4
3190244153,0,1/4
3190244156,0,1/4
3190244158,0,1/4
3190244325,0,1/4
3190244716,0,1/4
0003724010,0,1/4
3190245163,0,1/1
3190245173,0,1/1
3190245285,0,1/1
3190245354,0,1/1
3190245741,0,1/1
3190245839,0,1/1
3190246207,0,1/2
3190245765,0,1/2
3190246274,0,1/2
3190247136,0,1/1
3190247140,0,1/1
0003729385,0,1/1
3190246551,0,1/2
3190246957,0,1/12
0003727999,0,1/12
3190247222,0,1/4
3190247392,0,1/4
3190247556,0,1/1
3190247543,0,1/4
3190247547,0,1/4
3190247545,0,1/4
3190207044,0,1/3
3190196345,0,3/8
3190195704,0,6/11
3190188424,0,8/10
3200252038,0,3/12
3200260347,0,1/1
3190198199,0,2/3
3190191393,0,4/7
3190191380,0,4/7
3190191414,0,4/7
3190192856,0,2/5
3190194961,0,3/7
3190212063,0,1/9
0003600328,0,1/7
3190200120,0,2/3
0003616040,0,6/12
3190203332,0,1/8
3190209355,0,3/10
3190208189,0,3/10
0003661264,0,1/3
0003661251,0,3/11
0003667718,122124,4/12
